Country,Currency,Currency code,Currency units per £1 ,Start date,End date
Abu Dhabi,Dirham,AED,4.82,01/02/2020,29/02/2020
Albania,Lek,ALL,144.8,01/02/2020,29/02/2020
Algeria,Dinar,DZD,157.24,01/02/2020,29/02/2020
Angola,Readj Kwanza,AOA,648.1,01/02/2020,29/02/2020
Antigua,E Caribbean Dollar,XCD,3.5479,01/02/2020,29/02/2020
Argentina,Peso,ARS,78.99,01/02/2020,29/02/2020
Armenia,Dram,AMD,628.34,01/02/2020,29/02/2020
Aruba,Florin,AWG,2.3521,01/02/2020,29/02/2020
Australia,Dollar,AUD,1.9213,01/02/2020,29/02/2020
Azerbaijan,New Manat,AZN,2.2293,01/02/2020,29/02/2020
Bahamas,Dollar,BSD,1.314,01/02/2020,29/02/2020
Bahrain,Dinar,BHD,0.4955,01/02/2020,29/02/2020
Bangladesh,Taka,BDT,111.75,01/02/2020,29/02/2020
Barbados,Dollar,BBD,2.6281,01/02/2020,29/02/2020
Belarus,Rouble,BYN,2.782,01/02/2020,29/02/2020
Belize,Dollar,BZD,2.6281,01/02/2020,29/02/2020
Benin,CFA Franc,XOF,778.25,01/02/2020,29/02/2020
Bermuda,Dollar (US),BMD,1.314,01/02/2020,29/02/2020
Bhutan,Ngultrum,BTN,93.55,01/02/2020,29/02/2020
Bolivia,Boliviano,BOB,9.08,01/02/2020,29/02/2020
Bosnia- Herzegovinia,Marka,BAM,2.2305,01/02/2020,29/02/2020
Botswana,Pula,BWP,14.09,01/02/2020,29/02/2020
Brazil,Real,BRL,5.4965,01/02/2020,29/02/2020
Brunei,Dollar,BND,1.7731,01/02/2020,29/02/2020
Bulgaria,Lev,BGN,2.3206,01/02/2020,29/02/2020
Burkina Faso,CFA Franc,XOF,778.25,01/02/2020,29/02/2020
Burundi,Franc,BIF,2472.74,01/02/2020,29/02/2020
Cambodia,Riel,KHR,5321.87,01/02/2020,29/02/2020
Cameroon Republic,CFA Franc,XAF,778.25,01/02/2020,29/02/2020
Canada,Dollar,CAD,1.7239,01/02/2020,29/02/2020
Cape Verde Islands,Escudo,CVE,130.94,01/02/2020,29/02/2020
Cayman Islands,Dollar,KYD,1.0775,01/02/2020,29/02/2020
Central African Republic,CFA Franc,XAF,778.25,01/02/2020,29/02/2020
Chad,CFA Franc,XAF,778.25,01/02/2020,29/02/2020
Chile,Peso,CLP,1014.63,01/02/2020,29/02/2020
China,Yuan,CNY,9.0685,01/02/2020,29/02/2020
Colombia,Peso,COP,4381.54,01/02/2020,29/02/2020
Comoros,Franc,KMF,583.69,01/02/2020,29/02/2020
Congo (Brazaville),CFA Franc,XAF,778.25,01/02/2020,29/02/2020
Congo (DemRep),Congo Fr,CDF,2221.39,01/02/2020,29/02/2020
Costa Rica,Colon,CRC,744.91,01/02/2020,29/02/2020
Cote d'Ivoire,CFA Franc,XOF,778.25,01/02/2020,29/02/2020
Croatia,Kuna,HRK,8.8256,01/02/2020,29/02/2020
Cuba,Peso,CUP,1.314,01/02/2020,29/02/2020
Czech Republic,Koruna,CZK,29.82,01/02/2020,29/02/2020
Denmark,Krone,DKK,8.8662,01/02/2020,29/02/2020
Djibouti,Franc,DJF,233.53,01/02/2020,29/02/2020
Dominica,E Caribbean Dollar,XCD,3.5479,01/02/2020,29/02/2020
Dominican Republic,Peso,DOP,70.24,01/02/2020,29/02/2020
Dubai,Dirham,AED,4.82,01/02/2020,29/02/2020
Ecuador,Dollar,ECS,1.314,01/02/2020,29/02/2020
Egypt,Pound,EGP,20.76,01/02/2020,29/02/2020
El Salvador,Colon,SVC,11.49,01/02/2020,29/02/2020
Equatorial Guinea,CFA Franc,XAF,778.25,01/02/2020,29/02/2020
Eritrea,Nakfa,ERN,19.71,01/02/2020,29/02/2020
Ethiopia,Birr,ETB,42.08,01/02/2020,29/02/2020
Eurozone,Euro,EUR,1.1864,01/02/2020,29/02/2020
Fiji Islands,Dollar,FJD,2.8538,01/02/2020,29/02/2020
Fr. Polynesia,CFP Franc,XPF,141.58,01/02/2020,29/02/2020
Gabon,CFA Franc,XAF,778.25,01/02/2020,29/02/2020
Gambia,Dalasi,GMD,67.34,01/02/2020,29/02/2020
Georgia,Lari,GEL,3.7871,01/02/2020,29/02/2020
Ghana,Cedi,GHS,7.4112,01/02/2020,29/02/2020
Grenada,E Caribbean Dollar,XCD,3.5479,01/02/2020,29/02/2020
Guatemala,Quetzal,GTQ,10.1,01/02/2020,29/02/2020
Guinea Bissau,CFA Franc,XOF,778.25,01/02/2020,29/02/2020
Guinea Republic,Franc,GNF,12531.37,01/02/2020,29/02/2020
Guyana,Dollar,GYD,274.55,01/02/2020,29/02/2020
Haiti,Gourde,HTG,121.07,01/02/2020,29/02/2020
Honduras,Lempira,HNL,32.39,01/02/2020,29/02/2020
Hong Kong,Dollar,HKD,10.21,01/02/2020,29/02/2020
Hungary,Forint,HUF,398.7,01/02/2020,29/02/2020
Iceland,Krona,ISK,163.49,01/02/2020,29/02/2020
India,Rupee,INR,93.55,01/02/2020,29/02/2020
Indonesia,Rupiah,IDR,17929.46,01/02/2020,29/02/2020
Iraq,Dinar,IQD,1564.36,01/02/2020,29/02/2020
Israel,Shekel,ILS,4.5495,01/02/2020,29/02/2020
Jamaica,Dollar,JMD,180.12,01/02/2020,29/02/2020
Japan,Yen,JPY,144.42,01/02/2020,29/02/2020
Jordan,Dinar,JOD,0.9317,01/02/2020,29/02/2020
Kazakhstan,Tenge,KZT,495.25,01/02/2020,29/02/2020
Kenya,Schilling,KES,132.52,01/02/2020,29/02/2020
Kuwait,Dinar,KWD,0.3991,01/02/2020,29/02/2020
Kyrgyz Republic,Som,KGS,91.58,01/02/2020,29/02/2020
Lao People's Dem Rep,Kip,LAK,11688.41,01/02/2020,29/02/2020
Lebanon,Pound,LBP,1986.83,01/02/2020,29/02/2020
Lesotho,Loti,LSL,18.84,01/02/2020,29/02/2020
Liberia,Dollar (US),LRD,1.314,01/02/2020,29/02/2020
Libya,Dinar,LYD,1.8397,01/02/2020,29/02/2020
Macao,Pataca,MOP,10.51,01/02/2020,29/02/2020
Macedonia,Denar,MKD,73.06,01/02/2020,29/02/2020
Madagascar,Malagasy Ariary,MGA,4861.96,01/02/2020,29/02/2020
Malawi,Kwacha,MWK,967.81,01/02/2020,29/02/2020
Malaysia,Ringgit,MYR,5.3436,01/02/2020,29/02/2020
Maldive Islands,Rufiyaa,MVR,20.36,01/02/2020,29/02/2020
Mali Republic,CFA Franc,XOF,778.25,01/02/2020,29/02/2020
Mauritania,Ouguiya,MRO,46.95,01/02/2020,29/02/2020
Mauritius,Rupee,MUR,48.32,01/02/2020,29/02/2020
Mexico,Mexican Peso,MXN,24.55,01/02/2020,29/02/2020
Moldova,Leu,MDL,23.25,01/02/2020,29/02/2020
Mongolia,Tugrik,MNT,3609.67,01/02/2020,29/02/2020
Montserrat,E Caribbean Dollar,XCD,3.5479,01/02/2020,29/02/2020
Morocco,Dirham,MAD,12.63,01/02/2020,29/02/2020
Mozambique,Metical,MZN,83.4,01/02/2020,29/02/2020
Myanmar,Kyat,MMK,1930.07,01/02/2020,29/02/2020
Nepal,Rupee,NPR,149.68,01/02/2020,29/02/2020
New Caledonia,CFP Franc,XPF,141.58,01/02/2020,29/02/2020
New Zealand,Dollar,NZD,1.9929,01/02/2020,29/02/2020
Nicaragua,Gold Cordoba,NIO,44.54,01/02/2020,29/02/2020
Niger Republic,CFA Franc,XOF,778.25,01/02/2020,29/02/2020
Nigeria,Naira,NGN,475.35,01/02/2020,29/02/2020
Norway,Norwegian Krone,NOK,11.81,01/02/2020,29/02/2020
Oman,Rial,OMR,0.5059,01/02/2020,29/02/2020
Pakistan,Rupee,PKR,203.07,01/02/2020,29/02/2020
Panama,Balboa,PAB,1.314,01/02/2020,29/02/2020
Papua New Guinea,Kina,PGK,4.481,01/02/2020,29/02/2020
Paraguay,Guarani,PYG,8577.12,01/02/2020,29/02/2020
Peru,New Sol,PEN,4.3543,01/02/2020,29/02/2020
Philippines,Peso,PHP,66.9,01/02/2020,29/02/2020
Poland,Zloty,PLN,5.0315,01/02/2020,29/02/2020
Qatar,Riyal,QAR,4.7844,01/02/2020,29/02/2020
Romania,New Leu,RON,5.6692,01/02/2020,29/02/2020
Russia,Rouble,RUB,81.54,01/02/2020,29/02/2020
Rwanda,Franc,RWF,1228.68,01/02/2020,29/02/2020
Saotome & Principe,Dobra,STD,29237.5,01/02/2020,29/02/2020
Saudi Arabia,Riyal,SAR,4.9294,01/02/2020,29/02/2020
Senegal,CFA Franc,XOF,778.25,01/02/2020,29/02/2020
Serbia,Dinar,RSD,139.46,01/02/2020,29/02/2020
Seychelles,Rupee,SCR,18.34,01/02/2020,29/02/2020
Sierra Leone,Leone,SLL,12976.17,01/02/2020,29/02/2020
Singapore,Dollar,SGD,1.7731,01/02/2020,29/02/2020
Soloman Islands,Dollar,SBD,10.9,01/02/2020,29/02/2020
Somali Republic,Schilling,SOS,762.14,01/02/2020,29/02/2020
South Africa,Rand,ZAR,18.84,01/02/2020,29/02/2020
South Korea,Won,KRW,1530.26,01/02/2020,29/02/2020
Sri Lanka,Rupee,LKR,238.49,01/02/2020,29/02/2020
St Christopher & Anguilla,E Caribbean Dollar,XCD,3.5479,01/02/2020,29/02/2020
St Lucia,E Caribbean Dollar,XCD,3.5479,01/02/2020,29/02/2020
St Vincent,E Caribbean Dollar,XCD,3.5479,01/02/2020,29/02/2020
Sudan Republic,Pound,SDG,59.55,01/02/2020,29/02/2020
Surinam,Dollar,SRD,9.8001,01/02/2020,29/02/2020
Swaziland,Lilangeni,SZL,18.84,01/02/2020,29/02/2020
Sweden,Krona,SEK,12.51,01/02/2020,29/02/2020
Switzerland,Franc,CHF,1.2748,01/02/2020,29/02/2020
Taiwan,Dollar,TWD,39.39,01/02/2020,29/02/2020
Tanzania,Schilling,TZS,3027.55,01/02/2020,29/02/2020
Thailand,Baht,THB,39.9,01/02/2020,29/02/2020
Togo Republic,CFA Franc,XOF,778.25,01/02/2020,29/02/2020
Tonga Islands,Pa'anga (AUS),TOP,1.9213,01/02/2020,29/02/2020
Trinidad/Tobago,Dollar,TTD,8.9019,01/02/2020,29/02/2020
Tunisia,Dinar,TND,3.7086,01/02/2020,29/02/2020
Turkey,Turkish  Lira,TRY,7.7782,01/02/2020,29/02/2020
Turkmenistan,New Manat,TMT,4.6123,01/02/2020,29/02/2020
UAE,Dirham,AED,4.82,01/02/2020,29/02/2020
Uganda,Schilling,UGX,4829.1,01/02/2020,29/02/2020
Ukraine,Hryvnia,UAH,32.12,01/02/2020,29/02/2020
Uruguay,Peso,UYU,49.07,01/02/2020,29/02/2020
USA,Dollar,USD,1.314,01/02/2020,29/02/2020
Uzbekistan,Sum,UZS,12545.24,01/02/2020,29/02/2020
Vanuatu,Vatu,VUV,153.17,01/02/2020,29/02/2020
Venezuela,Bolivar Fuerte,VEF,326591,01/02/2020,29/02/2020
Vietnam,Dong,VND,30447.05,01/02/2020,29/02/2020
Wallis & Futuna Islands,CFP Franc,XPF,141.58,01/02/2020,29/02/2020
Western Samoa,Tala,WST,3.4662,01/02/2020,29/02/2020
Yemen (Rep of),Rial,YER,328.37,01/02/2020,29/02/2020
Zambia,Kwacha,ZMW,19.15,01/02/2020,29/02/2020
Zimbabwe,Dollar,ZWL,475.55,01/02/2020,29/02/2020
