"heading_id","description","title","id","fqcc","goods_nomenclature_sid"
"0701","Potatoes, fresh or chilled","Edible fruit, vegetables and nuts",24,"0701000000",30241
"0702","Tomatoes, fresh or chilled","Edible fruit, vegetables and nuts",24,"0702000000",30256
"0703","Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled","Edible fruit, vegetables and nuts",24,"0703000000",30292
"0704","Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled","Edible fruit, vegetables and nuts",24,"0704000000",30319
"0705","Lettuce (Lactuca sativa) and chicory (Cichorium spp.), fresh or chilled","Edible fruit, vegetables and nuts",24,"0705000000",30343
"0706","Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh or chilled","Edible fruit, vegetables and nuts",24,"0706000000",30380
"0707","Cucumbers and gherkins, fresh or chilled","Edible fruit, vegetables and nuts",24,"0707000000",30411
"0708","Leguminous vegetables, shelled or unshelled, fresh or chilled","Edible fruit, vegetables and nuts",24,"0708000000",30423
"0709","Other vegetables, fresh or chilled","Edible fruit, vegetables and nuts",24,"0709000000",30463
"0710","Vegetables (uncooked or cooked by steaming or boiling in water), frozen","Edible fruit, vegetables and nuts",24,"0710000000",30588
"0711","Vegetables provisionally preserved, but unsuitable in that state for immediate consumption","Edible fruit, vegetables and nuts",24,"0711000000",30626
"0712","Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared","Edible fruit, vegetables and nuts",24,"0712000000",30682
"0713","Dried leguminous vegetables, shelled, whether or not skinned or split","Edible fruit, vegetables and nuts",24,"0713000000",30726
"0714","Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith","Edible fruit, vegetables and nuts",24,"0714000000",30772
"0801","Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled","Edible fruit, vegetables and nuts",24,"0801000000",30809
"0802","Other nuts, fresh or dried, whether or not shelled or peeled","Edible fruit, vegetables and nuts",24,"0802000000",30815
"0803","Bananas, including plantains, fresh or dried","Edible fruit, vegetables and nuts",24,"0803000000",30845
"0804","Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried","Edible fruit, vegetables and nuts",24,"0804000000",30853
"0805","Citrus fruit, fresh or dried","Edible fruit, vegetables and nuts",24,"0805000000",30893
"0806","Grapes, fresh or dried","Edible fruit, vegetables and nuts",24,"0806000000",31162
"0807","Melons (including watermelons) and papaws (papayas), fresh","Edible fruit, vegetables and nuts",24,"0807000000",31215
"0808","Apples, pears and quinces, fresh","Edible fruit, vegetables and nuts",24,"0808000000",31254
"0809","Apricots, cherries, peaches (including nectarines), plums and sloes, fresh","Edible fruit, vegetables and nuts",24,"0809000000",31301
"0810","Other fruit, fresh","Edible fruit, vegetables and nuts",24,"0810000000",31412
"0811","Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter","Edible fruit, vegetables and nuts",24,"0811000000",31524
"0812","Fruit and nuts, provisionally preserved (for example, by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption","Edible fruit, vegetables and nuts",24,"0812000000",31644
"0813","Fruit, dried, other than that of headings 0801 to 0806; mixtures of nuts or dried fruits of this chapter","Edible fruit, vegetables and nuts",24,"0813000000",31666
"0814","Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions","Edible fruit, vegetables and nuts",24,"0814000000",31698
"1006",Rice,Rice,17,"1006000000",31827
"2106",Food preparations not elsewhere specified or included,Pharmaceutical products and placebos,26,"2106000000",34567
"2106",Food preparations not elsewhere specified or included,"Herbal medicines, supplements and tonics",9,"2106000000",34567
"2202","Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured, and other non-alcoholic beverages, not including fruit, nut or vegetable juices of heading 2009","Herbal medicines, supplements and tonics",9,"2202000000",34638
"2205",Vermouth and other wine of fresh grapes flavoured with plants or aromatic substances,"Herbal medicines, supplements and tonics",9,"2205000000",34941
"2206","Other fermented beverages (for example, cider, perry, mead); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included","Herbal medicines, supplements and tonics",9,"2206000000",34948
"2208","Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80 % vol; spirits, liqueurs and other spirituous beverages","Herbal medicines, supplements and tonics",9,"2208000000",34981
"2401",Unmanufactured tobacco; tobacco refuse,Tobacco,19,"2401000000",35247
"2402","Cigars, cheroots, cigarillos and cigarettes, of tobacco or of tobacco substitutes",Tobacco,19,"2402000000",35283
"2403",Other manufactured tobacco and manufactured tobacco substitutes; 'homogenised' or 'reconstituted' tobacco; tobacco extracts and essences,Tobacco,19,"2403000000",35287
"2404","Products containing tobacco, reconstituted tobacco, nicotine, or tobacco or nicotine substitutes, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body",Tobacco,19,"2404000000",106659
"2530",Mineral substances not elsewhere specified or included,Ceramics,3,"2530000000",35443
"2901",Acyclic hydrocarbons,Organic chemicals,13,"2901000000",36170
"2902",Cyclic hydrocarbons,Organic chemicals,13,"2902000000",36186
"2903",Halogenated derivatives of hydrocarbons,Organic chemicals,13,"2903000000",36225
"2904","Sulphonated, nitrated or nitrosated derivatives of hydrocarbons, whether or not halogenated",Organic chemicals,13,"2904000000",36312
"2905","Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives",Organic chemicals,13,"2905000000",36339
"2906","Cyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives",Organic chemicals,13,"2906000000",36399
"2907",Phenols; phenol-alcohols,Organic chemicals,13,"2907000000",36416
"2908","Halogenated, sulphonated, nitrated or nitrosated derivatives of phenols or phenol-alcohols",Organic chemicals,13,"2908000000",36452
"2909","Ethers, ether-alcohols, ether-phenols, ether-alcohol-phenols, alcohol peroxides, ether peroxides, ketone peroxides (whether or not chemically defined), and their halogenated, sulphonated, nitrated or nitrosated derivatives",Organic chemicals,13,"2909000000",36465
"2910","Epoxides, epoxyalcohols, epoxyphenols and epoxyethers, with a three-membered ring, and their halogenated, sulphonated, nitrated or nitrosated derivatives",Organic chemicals,13,"2910000000",36508
"2911","Acetals and hemiacetals, whether or not with other oxygen function, and their halogenated, sulphonated, nitrated or nitrosated derivatives",Organic chemicals,13,"2911000000",36518
"2912","Aldehydes, whether or not with other oxygen function; cyclic polymers of aldehydes; paraformaldehyde",Organic chemicals,13,"2912000000",36520
"2913","Halogenated, sulphonated, nitrated or nitrosated derivatives of products of heading 2912",Organic chemicals,13,"2913000000",36538
"2914","Ketones and quinones, whether or not with other oxygen function, and their halogenated, sulphonated, nitrated or nitrosated derivatives",Organic chemicals,13,"2914000000",36540
"2915","Saturated acyclic monocarboxylic acids and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives",Organic chemicals,13,"2915000000",36587
"2916","Unsaturated acyclic monocarboxylic acids, cyclic monocarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives",Organic chemicals,13,"2916000000",36644
"2917","Polycarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives",Organic chemicals,13,"2917000000",36694
"2918","Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives",Organic chemicals,13,"2918000000",36744
"2919","Phosphoric esters and their salts, including lactophosphates; their halogenated, sulphonated, nitrated or nitrosated derivatives",Organic chemicals,13,"2919000000",36797
"2920","Esters of other inorganic acids of non-metals (excluding esters of hydrogen halides) and their salts; their halogenated, sulphonated, nitrated or nitrosated derivatives",Organic chemicals,13,"2920000000",36808
"2921",Amine-function compounds,Organic chemicals,13,"2921000000",36826
"2922",Oxygen-function amino-compounds,Organic chemicals,13,"2922000000",36896
"2923","Quaternary ammonium salts and hydroxides; lecithins and other phosphoaminolipids, whether or not chemically defined",Organic chemicals,13,"2923000000",36961
"2924",Carboxyamide-function compounds; amide-function compounds of carbonic acid,Organic chemicals,13,"2924000000",36969
"2925",Carboxyimide-function compounds (including saccharin and its salts) and imine-function compounds,Organic chemicals,13,"2925000000",36995
"2926",Nitrile-function compounds,Organic chemicals,13,"2926000000",37012
"2927","Diazo-, azo- or azoxy-compounds",Organic chemicals,13,"2927000000",37029
"2928",Organic derivatives of hydrazine or of hydroxylamine,Organic chemicals,13,"2928000000",37033
"2929",Compounds with other nitrogen function,Organic chemicals,13,"2929000000",37042
"2930",Organo-sulphur compounds,Organic chemicals,13,"2930000000",37063
"2931",Other organo-inorganic compounds,Organic chemicals,13,"2931000000",37096
"2932",Heterocyclic compounds with oxygen hetero-atom(s) only,Organic chemicals,13,"2932000000",37122
"2933",Heterocyclic compounds with nitrogen hetero-atom(s) only; nucleic acids and their salts,Organic chemicals,13,"2933000000",37193
"2934","Nucleic acids and their salts, whether or not chemically defined; other heterocyclic compounds",Organic chemicals,13,"2934000000",37349
"2935",Sulphonamides,Organic chemicals,13,"2935000000",37418
"2936","Provitamins and vitamins, natural or reproduced by synthesis (including natural concentrates), derivatives thereof used primarily as vitamins, and intermixtures of the foregoing, whether or not in any solvent","Herbal medicines, supplements and tonics",9,"2936000000",37433
"2936","Provitamins and vitamins, natural or reproduced by synthesis (including natural concentrates), derivatives thereof used primarily as vitamins, and intermixtures of the foregoing, whether or not in any solvent",Organic chemicals,13,"2936000000",37433
"2937","Hormones, prostaglandins, thromboxanes and leukotrienes, natural or reproduced by synthesis; derivatives and structural analogues thereof, including chain modified polypeptides, used primarily as hormones",Organic chemicals,13,"2937000000",37461
"2938","Glycosides, natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives",Organic chemicals,13,"2938000000",37496
"2939","Vegetable alkaloids, natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives",Organic chemicals,13,"2939000000",37502
"2940","Sugars, chemically pure, other than sucrose, lactose, maltose, glucose and fructose; sugar ethers and sugar esters, and their salts, other than products of heading No 2937, 2938 or 2939",Organic chemicals,13,"2940000000",37534
"2941",Antibiotics,Organic chemicals,13,"2941000000",37541
"2942",Other organic compounds,Organic chemicals,13,"2942000000",37613
"3001","Glands and other organs for organo-therapeutic uses, dried, whether or not powdered; extracts of glands or other organs or of their secretions for organo-therapeutic uses; heparin and its salts; other human or animal substances prepared for therapeutic or prophylactic uses, not elsewhere specified or included",Pharmaceutical products and placebos,26,"3001000000",37615
"3002","Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera and other blood fractions; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products",Pharmaceutical products and placebos,26,"3002000000",37627
"3003","Medicaments (excluding goods of heading 3002, 3005 or 3006) consisting of two or more constituents which have been mixed together for therapeutic or prophylactic uses, not put up in measured doses or in forms or packings for retail sale",Pharmaceutical products and placebos,26,"3003000000",37661
"3003","Medicaments (excluding goods of heading 3002, 3005 or 3006) consisting of two or more constituents which have been mixed together for therapeutic or prophylactic uses, not put up in measured doses or in forms or packings for retail sale","Herbal medicines, supplements and tonics",9,"3003000000",37661
"3004","Medicaments (excluding goods of heading No 3002, 3005 or 3006) consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses or in forms or packings for retail sale","Herbal medicines, supplements and tonics",9,"3004000000",37684
"3004","Medicaments (excluding goods of heading No 3002, 3005 or 3006) consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses or in forms or packings for retail sale",Pharmaceutical products and placebos,26,"3004000000",37684
"3005","Wadding, gauze, bandages and similar articles (for example, dressings, adhesive plasters, poultices), impregnated or coated with pharmaceutical substances or put up in forms or packings for retail sale for medical, surgical, dental or veterinary purposes",Ceramics,3,"3005000000",37744
"3005","Wadding, gauze, bandages and similar articles (for example, dressings, adhesive plasters, poultices), impregnated or coated with pharmaceutical substances or put up in forms or packings for retail sale for medical, surgical, dental or veterinary purposes",Pharmaceutical products and placebos,26,"3005000000",37744
"3006",Pharmaceutical goods specified in Note 3 to this Chapter,Pharmaceutical products and placebos,26,"3006000000",37760
"3207","Prepared pigments, prepared opacifiers and prepared colours, vitrifiable enamels and glazes, engobes (slips), liquid lustres and similar preparations, of a kind used in the ceramic, enamelling or glass industry; glass frit and other glass, in the form of powder, granules or flakes",Ceramics,3,"3207000000",37894
"3304","Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), including sunscreen or sun tan preparations; manicure or pedicure preparations",Ceramics,3,"3304000000",38027
"3824","Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included",Tobacco,19,"3824000000",59671
"3824","Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included",Pharmaceutical products and placebos,26,"3824000000",59671
"3901","Polymers of ethylene, in primary forms",Plastics,16,"3901000000",38661
"3902","Polymers of propylene or of other olefins, in primary forms",Plastics,16,"3902000000",38687
"3903","Polymers of styrene, in primary forms",Plastics,16,"3903000000",38704
"3904","Polymers of vinyl chloride or of other halogenated olefins, in primary forms",Plastics,16,"3904000000",38720
"3905","Polymers of vinyl acetate or of other vinyl esters, in primary forms; other vinyl polymers in primary forms",Plastics,16,"3905000000",38757
"3906",Acrylic polymers in primary forms,Plastics,16,"3906000000",38774
"3907","Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl esters and other polyesters, in primary forms",Plastics,16,"3907000000",38789
"3908",Polyamides in primary forms,Plastics,16,"3908000000",38838
"3909","Amino-resins, phenolic resins and polyurethanes, in primary forms",Plastics,16,"3909000000",38843
"3910",Silicones in primary forms,Plastics,16,"3910000000",38853
"3911","Petroleum resins, coumarone-indene resins, polyterpenes, polysulphides, polysulphones and other products specified in note 3 to this chapter, not elsewhere specified or included, in primary forms",Plastics,16,"3911000000",38854
"3912","Cellulose and its chemical derivatives, not elsewhere specified or included, in primary forms",Plastics,16,"3912000000",38872
"3913","Natural polymers (for example, alginic acid) and modified natural polymers (for example, hardened proteins, chemical derivatives of natural rubber), not elsewhere specified or included, in primary forms",Plastics,16,"3913000000",38902
"3914","Ion-exchangers based on polymers of headings 3901 to 3913, in primary forms",Plastics,16,"3914000000",38917
"3915","Waste, parings and scrap, of plastics",Plastics,16,"3915000000",38921
"3916","Monofilament of which any cross-sectional dimension exceeds 1 mm, rods, sticks and profile shapes, whether or not surface-worked but not otherwise worked, of plastics",Plastics,16,"3916000000",38940
"3917","Tubes, pipes and hoses, and fittings therefor (for example, joints, elbows, flanges), of plastics",Plastics,16,"3917000000",38970
"3918","Floor coverings of plastics, whether or not self-adhesive, in rolls or in the form of tiles; wall or ceiling coverings of plastics, as defined in note 9 to this chapter",Plastics,16,"3918000000",39073
"3919","Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether or not in rolls",Plastics,16,"3919000000",39084
"3920","Other plates, sheets, film, foil and strip, of plastics, non-cellular and not reinforced, laminated, supported or similarly combined with other materials",Plastics,16,"3920000000",39155
"3921","Other plates, sheets, film, foil and strip, of plastics",Plastics,16,"3921000000",39406
"3922","Baths, shower-baths, sinks, washbasins, bidets, lavatory pans, seats and covers, flushing cisterns and similar sanitary ware, of plastics",Plastics,16,"3922000000",39478
"3923","Articles for the conveyance or packing of goods, of plastics; stoppers, lids, caps and other closures, of plastics",Plastics,16,"3923000000",39482
"3924","Tableware, kitchenware, other household articles and toilet articles, of plastics",Plastics,16,"3924000000",39501
"3925","Builders' ware of plastics, not elsewhere specified or included",Plastics,16,"3925000000",39508
"3926",Other articles of plastics and articles of other materials of headings 3901 to 3914,Ceramics,3,"3926000000",39517
"3926",Other articles of plastics and articles of other materials of headings 3901 to 3914,Plastics,16,"3926000000",39517
"4201","Saddlery and harness for any animal (including traces, leads, knee pads, muzzles, saddle-cloths, saddlebags, dog coats and the like), of any material",Leather,11,"4201000000",39808
"4202","Trunks, suitcases, vanity cases, executive-cases, briefcases, school satchels, spectacle cases, binocular cases, camera cases, musical instrument cases, gun cases, holsters and similar containers; travelling-bags, insulated food or beverages bags, toilet bags, rucksacks, handbags, shopping-bags, wallets, purses, map-cases, cigarette-cases, tobacco-pouches, tool bags, sports bags, bottle-cases, jewellery boxes, powder boxes, cutlery cases and similar containers, of leather or of composition leather, of sheeting of plastics, of textile materials, of vulcanised fibre or of paperboard, or wholly or mainly covered with such materials or with paper",Leather,11,"4202000000",39809
"4203","Articles of apparel and clothing accessories, of leather or of composition leather",Leather,11,"4203000000",39904
"4205",Other articles of leather or of composition leather,Leather,11,"4205000000",39922
"4206","Articles of gut (other than silkworm gut), of goldbeater's skin, of bladders or of tendons",Leather,11,"4206000000",39923
"4401","Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms; wood in chips or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms",Wood,22,"4401000000",39989
"4402","Wood charcoal (including shell or nut charcoal), whether or not agglomerated",Wood,22,"4402000000",39997
"4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared",Wood,22,"4403000000",39998
"4404","Hoopwood; split poles; piles, pickets and stakes of wood, pointed but not sawn lengthwise; wooden sticks, roughly trimmed but not turned, bent or otherwise worked, suitable for the manufacture of walking sticks, umbrellas, tool handles or the like; chipwood and the like",Wood,22,"4404000000",40028
"4405",Wood wool; wood flour,Wood,22,"4405000000",40031
"4406",Railway or tramway sleepers (cross-ties) of wood,Wood,22,"4406000000",40032
"4407","Wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, of a thickness exceeding 6 mm",Wood,22,"4407000000",40035
"4408","Sheets for veneering (including those obtained by slicing laminated wood), for plywood or for similar laminated wood and other wood, sawn lengthwise, sliced or peeled, whether or not planed, sanded, spliced or end-jointed, of a thickness not exceeding 6 mm",Wood,22,"4408000000",40118
"4409","Wood (including strips and friezes for parquet flooring, not assembled) continuously shaped (tongued, grooved, rebated, chamfered, V-jointed, beaded, moulded, rounded or the like) along any of its edges, ends or faces, whether or not planed, sanded or end-jointed",Wood,22,"4409000000",40154
"4410","Particle board, oriented strand board (OSB) and similar board (for example, waferboard) of wood or other ligneous materials, whether or not agglomerated with resins or other organic binding substances",Wood,22,"4410000000",40169
"4411","Fibreboard of wood or other ligneous materials, whether or not bonded with resins or other organic substances",Wood,22,"4411000000",40178
"4412","Plywood, veneered panels and similar laminated wood",Wood,22,"4412000000",40191
"4413","Densified wood, in blocks, plates, strips or profile shapes",Wood,22,"4413000000",40216
"4414","Wooden frames for paintings, photographs, mirrors or similar objects",Wood,22,"4414000000",40217
"4415","Packing cases, boxes, crates, drums and similar packings, of wood; cable-drums of wood; pallets, box pallets and other load boards, of wood",Wood,22,"4415000000",40222
"4416","Casks, barrels, vats, tubs and other coopers' products and parts thereof, of wood, including staves",Wood,22,"4416000000",40229
"4417","Tools, tool bodies, tool handles, broom or brush bodies and handles, of wood; boot or shoe lasts and trees, of wood",Wood,22,"4417000000",40234
"4418","Builders' joinery and carpentry of wood, including cellular wood panels, assembled flooring panels, shingles and shakes",Wood,22,"4418000000",40237
"4419","Tableware and kitchenware, of wood",Wood,22,"4419000000",40255
"4420","Wood marquetry and inlaid wood; caskets and cases for jewellery or cutlery, and similar articles, of wood; statuettes and other ornaments, of wood; wooden articles of furniture not falling in Chapter 94",Wood,22,"4420000000",40265
"4421",Other articles of wood,Wood,22,"4421000000",40304
"6101","Men's or boys' overcoats, car coats, capes, cloaks, anoraks (including ski jackets), windcheaters, wind-jackets and similar articles, knitted or crocheted, other than those of heading 6103",Textile apparel,18,"6101000000",42797
"6102","Women's or girls' overcoats, car coats, capes, cloaks, anoraks (including ski jackets), windcheaters, wind-jackets and similar articles, knitted or crocheted, other than those of heading 6104",Textile apparel,18,"6102000000",42812
"6103","Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted",Textile apparel,18,"6103000000",42827
"6104","Women's or girls' suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted",Textile apparel,18,"6104000000",42859
"6105","Men's or boys' shirts, knitted or crocheted",Textile apparel,18,"6105000000",42907
"6106","Women's or girls' blouses, shirts and shirt-blouses, knitted or crocheted",Textile apparel,18,"6106000000",42915
"6107","Men's or boys' underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles, knitted or crocheted",Textile apparel,18,"6107000000",42923
"6108","Women's or girls' slips, petticoats, briefs, panties, nightdresses, pyjamas, négligés, bathrobes, dressing gowns and similar articles, knitted or crocheted",Textile apparel,18,"6108000000",42944
"6109","T-shirts, singlets and other vests, knitted or crocheted",Textile apparel,18,"6109000000",42978
"6110","Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",Textile apparel,18,"6110000000",42984
"6111","Babies' garments and clothing accessories, knitted or crocheted",Textile apparel,18,"6111000000",43032
"6112","Tracksuits, ski suits and swimwear, knitted or crocheted",Textile apparel,18,"6112000000",43047
"6113","Garments, made up of knitted or crocheted fabrics of heading 5903, 5906 or 5907",Textile apparel,18,"6113000000",43069
"6114","Other garments, knitted or crocheted",Textile apparel,18,"6114000000",43072
"6115","Pantyhose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted",Textile apparel,18,"6115000000",43077
"6116","Gloves, mittens and mitts, knitted or crocheted",Textile apparel,18,"6116000000",43099
"6117","Other made-up clothing accessories, knitted or crocheted; knitted or crocheted parts of garments or of clothing accessories",Textile apparel,18,"6117000000",43108
"6201","Men's or boys' overcoats, car coats, capes, cloaks, anoraks (including ski jackets), windcheaters, wind-jackets and similar articles, other than those of heading 6203",Textile apparel,18,"6201000000",43116
"6202","Women's or girls' overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 6204",Textile apparel,18,"6202000000",43145
"6203","Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear)",Textile apparel,18,"6203000000",43175
"6204","Women's or girls' suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear)",Textile apparel,18,"6204000000",43246
"6205",Men's or boys' shirts,Textile apparel,18,"6205000000",43395
"6206","Women's or girls' blouses, shirts and shirt-blouses",Textile apparel,18,"6206000000",43406
"6207","Men's or boys' singlets and other vests, underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles",Textile apparel,18,"6207000000",43418
"6208","Women's or girls' singlets and other vests, slips, petticoats, briefs, panties, nightdresses, pyjamas, négligés, bathrobes, dressing gowns and similar articles",Textile apparel,18,"6208000000",43446
"6209",Babies' garments and clothing accessories,Textile apparel,18,"6209000000",43481
"6210","Garments, made up of fabrics of heading 5602, 5603, 5903, 5906 or 5907",Textile apparel,18,"6210000000",43498
"6211","Tracksuits, ski suits and swimwear; other garments",Textile apparel,18,"6211000000",43512
"6212","Brassières, girdles, corsets, braces, suspenders, garters and similar articles and parts thereof, whether or not knitted or crocheted",Textile apparel,18,"6212000000",43557
"6213",Handkerchiefs,Textile apparel,18,"6213000000",43562
"6214","Shawls, scarves, mufflers, mantillas, veils and the like",Textile apparel,18,"6214000000",43568
"6215","Ties, bow ties and cravats",Textile apparel,18,"6215000000",43594
